interpolatedPhoneTimestamp,respeckTimestamp,sequenceNumber,x,y,z,breathingSignal,breathingRate,activityLevel,activityType
1539436351540,17378758577,30,-0.0871582,-1.302002,0.092041016,NaN,NaN,0.37625152,9
1539436351620,17378758577,31,-0.22216797,-0.77124023,0.2998047,NaN,NaN,0.58574855,9
1539436351700,17378761005,0,0.037841797,-0.9091797,0.16235352,NaN,NaN,0.58574855,9
1539436351780,17378761005,1,-0.1772461,-0.82250977,0.095947266,NaN,NaN,0.58574855,9
1539436351860,17378761005,2,-0.14013672,-0.7800293,0.1159668,NaN,NaN,0.58574855,9
1539436351940,17378761005,3,-0.13647461,-0.9406738,0.028808594,NaN,NaN,0.58574855,9
1539436352020,17378761005,4,-0.21386719,-1.1889648,0.025878906,NaN,NaN,0.58574855,9
1539436352100,17378761005,5,-0.22363281,-1.6604004,0.27148438,NaN,NaN,0.58574855,9
1539436352180,17378761005,6,0.31274414,-0.7109375,0.24169922,NaN,NaN,1.090902,9
1539436352260,17378761005,7,-0.2475586,-0.97436523,0.17797852,NaN,NaN,1.090902,9
1539436352340,17378761005,8,-0.04272461,-0.673584,0.07348633,NaN,NaN,1.090902,9
1539436352420,17378761005,9,0.05493164,-0.7780762,-0.05834961,NaN,NaN,1.090902,9
1539436352500,17378761005,10,-0.048339844,-0.8222656,-0.046142578,NaN,NaN,1.090902,9
1539436352580,17378761005,11,-0.17651367,-1.1889648,-0.15820312,NaN,NaN,1.090902,9
1539436352660,17378761005,12,-0.34179688,-1.5693359,0.110839844,NaN,NaN,1.090902,9
1539436352740,17378761005,13,0.060058594,-0.83984375,0.38330078,NaN,NaN,1.090902,9
1539436352820,17378761005,14,0.014160156,-0.9748535,0.05883789,NaN,NaN,1.090902,9
1539436352900,17378761005,15,-0.040039062,-0.685791,0.07861328,NaN,NaN,1.090902,9
1539436352980,17378761005,16,-0.05419922,-0.7495117,0.059326172,NaN,NaN,1.090902,9
1539436353060,17378761005,17,-0.24731445,-0.91308594,-0.021972656,NaN,NaN,1.090902,9
1539436353140,17378761005,18,-0.21728516,-1.2819824,0.06225586,NaN,NaN,1.090902,9
1539436353220,17378761005,19,-0.100097656,-1.4328613,0.19824219,NaN,NaN,1.090902,9
1539436353300,17378761005,20,0.36206055,-0.8486328,0.27490234,NaN,NaN,1.090902,9
1539436353380,17378761005,21,-0.23486328,-0.96606445,0.13842773,NaN,NaN,1.090902,9
1539436353460,17378761005,22,-0.04711914,-0.67944336,0.053466797,NaN,NaN,1.090902,9
1539436353540,17378761005,23,-0.036865234,-0.69873047,-0.041259766,NaN,NaN,1.090902,9
1539436353620,17378761005,24,-0.115234375,-0.86035156,-0.11645508,NaN,NaN,1.090902,9
1539436353700,17378761005,25,-0.07421875,-1.2614746,-0.17236328,NaN,NaN,1.090902,9
1539436353780,17378761005,26,-0.21264648,-1.5537109,0.19482422,NaN,NaN,1.090902,1
1539436353860,17378761005,27,-0.06591797,-0.69799805,0.21264648,NaN,NaN,1.090902,1
1539436353940,17378761005,28,-0.02734375,-1.1105957,0.05419922,NaN,NaN,1.090902,1
1539436354020,17378761005,29,-0.048583984,-0.50805664,0.021972656,NaN,NaN,1.090902,1
1539436354100,17378761005,30,-0.12426758,-0.7060547,0.004638672,NaN,NaN,1.090902,1
1539436354180,17378761005,31,-0.15185547,-1.0019531,-0.038085938,NaN,NaN,1.090902,1
1539436354260,17378763434,0,-0.3527832,-1.6235352,-0.004638672,NaN,NaN,1.090902,1
1539436354340,17378763434,1,0.47485352,-1.0578613,0.36132812,NaN,NaN,1.090902,1
1539436354420,17378763434,2,-0.13842773,-1.1677246,0.09765625,NaN,NaN,1.090902,1
1539436354500,17378763434,3,-0.04736328,-0.65966797,0.09887695,NaN,NaN,1.090902,1
1539436354580,17378763434,4,-0.18652344,-0.53881836,-0.03857422,NaN,NaN,1.090902,1
1539436354660,17378763434,5,-0.099121094,-0.65356445,-0.15771484,NaN,NaN,1.090902,1
1539436354740,17378763434,6,-0.10424805,-1.369873,-0.103271484,NaN,NaN,1.067193,1
1539436354820,17378763434,7,-0.12719727,-1.657959,0.123046875,NaN,NaN,1.067193,1
1539436354900,17378763434,8,0.0063476562,-0.87353516,0.3791504,NaN,NaN,1.067193,1
1539436354980,17378763434,9,0.033935547,-1.0476074,0.11035156,NaN,NaN,1.067193,1
1539436355060,17378763434,10,0.026611328,-0.42700195,0.030517578,NaN,NaN,1.067193,1
1539436355140,17378763434,11,-0.09057617,-0.64501953,0.03564453,NaN,NaN,1.067193,1
1539436355220,17378763434,12,-0.2055664,-1.0307617,-0.08105469,NaN,NaN,1.067193,1
1539436355300,17378763434,13,-0.3227539,-1.6044922,-0.104003906,NaN,NaN,1.067193,1
1539436355380,17378763434,14,0.5283203,-1.1853027,0.31884766,NaN,NaN,1.067193,1
1539436355460,17378763434,15,-0.16918945,-1.050293,0.09741211,NaN,NaN,1.067193,1
1539436355540,17378763434,16,-0.01171875,-0.6977539,0.107177734,NaN,NaN,1.067193,1
1539436355620,17378763434,17,-0.1159668,-0.4868164,-0.041259766,NaN,NaN,1.067193,1
1539436355700,17378763434,18,7.324219E-4,-0.7043457,-0.21166992,NaN,NaN,1.067193,1
1539436355780,17378763434,19,-0.15527344,-1.4130859,-0.26245117,NaN,NaN,1.067193,1
1539436355860,17378763434,20,-0.072753906,-1.609375,0.09863281,NaN,NaN,1.067193,1
1539436355940,17378763434,21,-0.07397461,-0.9560547,0.32470703,NaN,NaN,1.067193,1
1539436356020,17378763434,22,0.0012207031,-0.9680176,0.06225586,NaN,NaN,1.067193,1
1539436356100,17378763434,23,0.05078125,-0.39794922,0.013183594,NaN,NaN,1.067193,1
1539436356180,17378763434,24,-0.061767578,-0.6533203,0.014404297,NaN,NaN,1.067193,1
1539436356260,17378763434,25,-0.22583008,-1.0612793,-0.052978516,NaN,NaN,1.067193,1
1539436356340,17378763434,26,-0.30273438,-1.644043,-0.02709961,NaN,NaN,1.067193,1
1539436356420,17378763434,27,0.49365234,-1.1230469,0.30444336,NaN,NaN,1.067193,1
1539436356500,17378763434,28,-0.15136719,-1.1193848,0.1159668,NaN,NaN,1.067193,1
1539436356580,17378763434,29,-0.07348633,-0.6508789,0.092285156,NaN,NaN,1.067193,1
1539436356660,17378763434,30,-0.091308594,-0.48364258,-0.08325195,NaN,NaN,1.067193,1
1539436356740,17378763434,31,-0.087402344,-0.68652344,-0.064941406,NaN,NaN,1.067193,1
1539436356820,17378765863,0,-0.1508789,-1.4260254,-0.1899414,NaN,NaN,1.067193,1
1539436356884,17378765863,1,-0.2277832,-1.6252441,0.16699219,NaN,NaN,1.0386773,1
1539436356949,17378765863,2,-0.018310547,-0.83862305,0.42114258,NaN,NaN,1.0386773,1
1539436357014,17378765863,3,0.06591797,-1.0117188,0.068847656,NaN,NaN,1.0386773,1
1539436357079,17378765863,4,0.007080078,-0.4165039,0.05834961,NaN,NaN,1.0386773,1
1539436357143,17378765863,5,-0.111572266,-0.5974121,0.034423828,NaN,NaN,1.0386773,1
1539436357208,17378765863,6,-0.23095703,-1.1467285,0.0029296875,NaN,NaN,1.0386773,1
1539436357273,17378765863,7,-0.21362305,-1.6347656,0.013183594,NaN,NaN,1.0386773,1
1539436357338,17378765863,8,0.54296875,-1.0942383,0.4206543,NaN,NaN,1.0386773,1
1539436357402,17378765863,9,-0.15283203,-1.0827637,0.14233398,NaN,NaN,1.0386773,1
1539436357467,17378765863,10,-0.035888672,-0.6635742,0.104003906,NaN,NaN,1.0386773,1
1539436357532,17378765863,11,-0.10620117,-0.51953125,-0.061279297,NaN,NaN,1.0386773,1
1539436357597,17378765863,12,-0.09399414,-0.7331543,-0.20825195,NaN,NaN,1.0386773,1
1539436357661,17378765863,13,-0.11694336,-1.4472656,-0.06567383,NaN,NaN,1.0386773,1
1539436357726,17378765863,14,-0.07861328,-1.5893555,0.21166992,NaN,NaN,1.0152011,1
1539436357791,17378765863,15,0.007080078,-0.85180664,0.2927246,NaN,NaN,1.0152011,1
1539436357856,17378765863,16,0.0146484375,-0.9711914,0.029541016,NaN,NaN,1.0152011,1
1539436357920,17378765863,17,-0.012939453,-0.41210938,0.018798828,NaN,NaN,1.0152011,1
1539436357985,17378765863,18,-0.12133789,-0.6682129,0.05053711,NaN,NaN,1.0152011,1
1539436358050,17378765863,19,-0.13085938,-1.1325684,-0.08154297,NaN,NaN,1.0152011,1
1539436358115,17378765863,20,-0.2590332,-1.5979004,-0.044189453,NaN,NaN,1.0152011,1
1539436358179,17378765863,21,0.51293945,-1.0852051,0.38232422,NaN,NaN,1.020153,1
1539436358244,17378765863,22,-0.23095703,-1.0708008,0.114990234,NaN,NaN,1.020153,1
1539436358309,17378765863,23,-0.05883789,-0.68481445,0.07714844,NaN,NaN,1.020153,1
1539436358374,17378765863,24,-0.024658203,-0.54345703,-0.07080078,NaN,NaN,1.020153,1
1539436358438,17378765863,25,-0.09057617,-0.7841797,-0.06713867,NaN,NaN,1.020153,1
1539436358503,17378765863,26,-0.13232422,-1.310791,-0.16992188,NaN,NaN,1.020153,1
